date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:46	125/125	---MCZ	200	added ('OK')	text/plain	date:Fri,%2013%20Jan%202017%2023:41:45%20GMT	https://stripe.com/robots.txt		(from )
15:41:46	55766/55766	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:46%20GMT	https://stripe.com/	~/httrack-copies/stripe/stripe.com/index.html	(from )
15:41:46	6518/6518	---M--	200	added ('OK')	image/x-icon	etag:%22585c3505-1976%22	https://stripe.com/favicon.ico	~/httrack-copies/stripe/stripe.com/favicon.ico	(from https://stripe.com/)
15:41:46	18247/18247	---M--	200	added ('OK')	image/png	etag:%2258795662-4747%22	https://stripe.com/img/apple-touch-icon/180x180.png	~/httrack-copies/stripe/stripe.com/img/apple-touch-icon/180x180.png	(from https://stripe.com/)
15:41:47	219453/219453	---M--	200	added ('OK')	image/png	etag:%2258795662-3593d%22	https://stripe.com/img/v3/home/social.png	~/httrack-copies/stripe/stripe.com/img/v3/home/social.png	(from https://stripe.com/)
15:41:47	113234/113234	---M--	200	added ('OK')	image/png	etag:%2258795662-1ba52%22	https://stripe.com/img/v3/home/twitter.png	~/httrack-copies/stripe/stripe.com/img/v3/home/twitter.png	(from https://stripe.com/)
15:41:48	165854/165854	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202017%2023:41:47%20GMT	https://stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css	~/httrack-copies/stripe/stripe.com/assets/v3/default-ef2bff54073622b9e08cf24466b5668f.css	(from https://stripe.com/)
15:41:48	11361/11361	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202017%2023:41:47%20GMT	https://stripe.com/assets/v3/home/index-2a215cf026161f6768aa7041fdc52a1e.css	~/httrack-copies/stripe/stripe.com/assets/v3/home/index-2a215cf026161f6768aa7041fdc52a1e.css	(from https://stripe.com/)
15:41:48	9017/9017	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Jan%202017%2023:41:48%20GMT	https://stripe.com/assets/v3/default-70bb9a14949117cf716ae5fc9a2ce709.js	~/httrack-copies/stripe/stripe.com/assets/v3/default-70bb9a14949117cf716ae5fc9a2ce709.js	(from https://stripe.com/)
15:41:48	11154/11154	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2013%20Jan%202017%2023:41:48%20GMT	https://stripe.com/assets/v3/home/index-3b14bcc1878a90815c2d55a7c3c536ee.js	~/httrack-copies/stripe/stripe.com/assets/v3/home/index-3b14bcc1878a90815c2d55a7c3c536ee.js	(from https://stripe.com/)
15:41:49	48/48	---M--	301	error ('Moved%20Permanently')	application/octet-stream	date:Fri,%2013%20Jan%202017%2023:41:48%20GMT	https://stripe.com/features	~/httrack-copies/stripe/stripe.com/features	(from https://stripe.com/)
15:41:49	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jan%202017%2023:41:49%20GMT	https://stripe.com/payments	~/httrack-copies/stripe/stripe.com/payments	(from https://stripe.com/)
15:41:49	71536/71536	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:49%20GMT	https://stripe.com/us/payments	~/httrack-copies/stripe/stripe.com/us/payments.html	(from https://stripe.com/)
15:41:49	60485/60485	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:49%20GMT	https://stripe.com/subscriptions	~/httrack-copies/stripe/stripe.com/subscriptions.html	(from https://stripe.com/)
15:41:50	57708/57708	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:49%20GMT	https://stripe.com/connect	~/httrack-copies/stripe/stripe.com/connect.html	(from https://stripe.com/)
15:41:50	46745/46745	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:50%20GMT	https://stripe.com/relay	~/httrack-copies/stripe/stripe.com/relay.html	(from https://stripe.com/)
15:41:50	289655/289655	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:50%20GMT	https://stripe.com/atlas	~/httrack-copies/stripe/stripe.com/atlas.html	(from https://stripe.com/)
15:41:50	53767/53767	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:50%20GMT	https://stripe.com/radar	~/httrack-copies/stripe/stripe.com/radar.html	(from https://stripe.com/)
15:41:50	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jan%202017%2023:41:50%20GMT	https://stripe.com/pricing	~/httrack-copies/stripe/stripe.com/pricing	(from https://stripe.com/)
15:41:51	67916/67916	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:51%20GMT	https://stripe.com/us/pricing	~/httrack-copies/stripe/stripe.com/us/pricing.html	(from https://stripe.com/)
15:41:51	117381/117381	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:51%20GMT	https://stripe.com/works-with	~/httrack-copies/stripe/stripe.com/works-with.html	(from https://stripe.com/)
15:41:51	24281/24281	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:51%20GMT	https://stripe.com/docs	~/httrack-copies/stripe/stripe.com/docs.html	(from https://stripe.com/)
15:41:51	69504/69504	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:51%20GMT	https://stripe.com/customers	~/httrack-copies/stripe/stripe.com/customers.html	(from https://stripe.com/)
15:41:52	50916/50916	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:52%20GMT	https://stripe.com/jobs	~/httrack-copies/stripe/stripe.com/jobs.html	(from https://stripe.com/)
15:41:52	215358/215358	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:52%20GMT	https://stripe.com/about	~/httrack-copies/stripe/stripe.com/about.html	(from https://stripe.com/)
15:41:52	62579/62579	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:52%20GMT	https://stripe.com/blog	~/httrack-copies/stripe/stripe.com/blog.html	(from https://stripe.com/)
15:41:52	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2013%20Jan%202017%2023:41:52%20GMT	https://stripe.com/payments	~/httrack-copies/stripe/stripe.com/payments	(from https://stripe.com/)
15:41:52	28699/28699	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:52%20GMT	https://stripe.com/docs/custom-form	~/httrack-copies/stripe/stripe.com/docs/custom-form.html	(from https://stripe.com/)
15:41:53	21321/21321	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:52%20GMT	https://stripe.com/docs/checkout/tutorial	~/httrack-copies/stripe/stripe.com/docs/checkout/tutorial.html	(from https://stripe.com/)
15:41:53	15543/15543	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202017%2023:41:53%20GMT	https://stripe.com/docs/mobile	~/httrack-copies/stripe/stripe.com/docs/mobile.html	(from https://stripe.com/)
