ISO,Country,Country Code,Type of number,Voice Enabled,SMS Enabled,MMS Enabled,Domestic Voice Only,Domestic SMS only,Price /num/month,Inbound Voice price/min, Inbound SMS price/msg , Inbound MMS price/msg ,Beta Status,Address Required
AU,Australia,61,Local,Yes,No,No,No,N/A,$3.00 ,0.0075, N/A , N/A ,No,Yes
AU,Australia,61,Mobile,No,Yes,No,N/A,No,$6.00 , N/A ,0.0075, N/A ,No,No
AT,Austria,43,Mobile,No,Yes,No,N/A,No,$6.00 , N/A ,0.0075, N/A ,No,No
AT,Austria,43,National,Yes,No,No,Yes,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
BH,Bahrain,973,Local,Yes,No,No,No,N/A,$8.00 ,0.0075, N/A , N/A ,No,No
BE,Belgium,32,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
BE,Belgium,32,Mobile,No,Yes,No,N/A,No,$1.00 , N/A ,0.0075, N/A ,No,No
BE,Belgium,32,National,Yes,No,No,Yes,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
BR,Brazil,55,Local,Yes,No,No,No,N/A,$3.00 ,0.0075, N/A , N/A ,No,No
BG,Bulgaria,359,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
CA,Canada,1,Local,Yes,Yes,Yes,No,No,$1.00 ,0.0075,0.0075,$0.01 ,No,No
CA,Canada,1,Toll Free,Yes,No,No,No,N/A,$2.00 ,0.0275,0.0075, N/A ,No,No
CY,Cyprus,357,Local,Yes,No,No,No,N/A,$4.00 ,0.0075, N/A , N/A ,No,No
CZ,Czech Republic,420,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
DK,Denmark,45,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
DO,Dominican Republic,1829,Local,Yes,No,No,No,N/A,$7.00 ,0.0075, N/A , N/A ,No,No
SV,El Salvador,503,Local,Yes,No,No,No,N/A,$10.00 ,0.0075, N/A , N/A ,No,No
EE,Estonia,372,Mobile,No,Yes,No,N/A,No,$3.00 , N/A ,0.0075, N/A ,No,No
EE,Estonia,372,National,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
FI,Finland,358,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
FI,Finland,358,Mobile,No,Yes,No,N/A,No,$1.00 , N/A ,0.0075, N/A ,No,No
FI,Finland,358,National,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
FR,France,33,National,Yes,No,No,Yes,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
GR,Greece,30,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
HK,Hong Kong,852,Mobile,No,Yes,No,N/A,Yes,$10.00 , N/A ,0.0075, N/A ,No,No
HK,Hong Kong,852,National,Yes,No,No,No,N/A,$8.00 ,0.0075, N/A , N/A ,No,No
IE,Ireland,353,National,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
IE,Ireland,353,Mobile,No,Yes,No,N/A,No,$6.00 ,N/A,0.0075,N/A,No,No
IL,Israel,972,Local,Yes,No,No,No,N/A,$5.00 ,0.0075, N/A , N/A ,No,No
IT,Italy,39,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
JP,Japan,81,Local,Yes,No,No,No,N/A,$5.00 ,0.0075, N/A , N/A ,No,No
LV,Latvia,371,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
LT,Lithuania,370,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
LT,Lithuania,370,Mobile,No,Yes,No,N/A,Yes,$3.00 , N/A ,0.0075, N/A ,No,No
LU,Luxembourg,352,Local,Yes,No,No,No,N/A,$3.00 ,0.0075, N/A , N/A ,No,Yes
MT,Malta,356,National,Yes,No,No,No,N/A,$5.00 ,0.0075, N/A , N/A ,No,No
MX,Mexico,52,Local,Yes,No,No,No,N/A,$3.00 ,0.0075, N/A , N/A ,No,Yes
MX,Mexico,52,Mobile,No,Yes,No,N/A,No,$10.00 ,N/A,0.0075,N/A,Yes,No
NZ,New Zealand,64,Local,Yes,No,No,No,N/A,$3.00 ,0.0075, N/A , N/A ,No,No
NO,Norway,47,Mobile,No,Yes,No,N/A,No,$4.00 , N/A ,0.0075, N/A ,No,No
PE,Peru,51,Local,Yes,No,No,No,N/A,$5.00 ,0.0075, N/A , N/A ,No,No
PL,Poland,48,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
PL,Poland,48,Mobile,No,Yes,No,N/A,No,$1.00 , N/A ,0.0075, N/A ,No,No
PT,Portugal,351,National,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
PR,Puerto Rico,1787,Local,Yes,Yes,No,No,N/A,$8.00 ,0.0075,0.0075, N/A ,No,No
RO,Romania,40,Local,Yes,No,No,No,N/A,$5.00 ,0.0075, N/A , N/A ,No,Yes
SK,Slovakia,421,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
ZA,South Africa,27,National,Yes,No,No,Yes,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
ES,Spain,34,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
ES,Spain,34,Local,No,Yes,No,N/A,Yes,$1.00 , N/A ,0.0075, N/A ,No,No
ES,Spain,34,National,Yes,No,No,Yes,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
SE,Sweden,46,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
SE,Sweden,46,Mobile,No,Yes,No,N/A,No,$1.00 , N/A ,0.0075, N/A ,No,No
SE,Sweden,46,National,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
CH,Switzerland,41,Local,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,Yes
CH,Switzerland,41,Mobile,No,Yes,No,N/A,No,$8.00 , N/A ,0.0075, N/A ,No,No
NL,The Netherlands,31,National,Yes,No,No,No,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
GB,United Kingdom,44,Local,Yes,Yes,No,No,Yes,$1.00 ,0.0075,0.0075, N/A ,No,No
GB,United Kingdom,44,Mobile,No,Yes,No,No,No,$1.00 , N/A ,0.0075, N/A ,No,No
GB,United Kingdom,44,National,Yes,No,No,Yes,N/A,$1.00 ,0.0075, N/A , N/A ,No,No
GB,United Kingdom,44,Toll Free,Yes,No,No,Yes,N/A,$2.00 ,0.0575, N/A , N/A ,No,No
US,United States,1,Local,Yes,Yes,No,No,No,$1.00 ,0.0075,0.0075,$0.01 ,No,No
US,United States,1,Toll Free,Yes,No,No,No,N/A,$2.00 ,0.0275,0.0075, N/A ,No,No
